B4108E1D-460D-47AF-907C-0BC164E615EE
15.0,89
16.0,90
21.0,91
26.0,87
44.0,78
47.0,79
61.0,76
66.0,59
71.0,56
72.0,55
77.0,56
82.0,56
88.0,57
92.0,58
98.0,58
106.0,56
111.0,53
116.0,53
121.0,54
122.0,53
131.0,54
136.0,53
138.0,53
145.0,52
151.0,51
152.0,52
157.0,52
162.0,52
167.0,53
176.0,51
181.0,49
186.0,48
191.0,47
194.0,47
201.0,46
202.0,46
207.0,46
212.0,46
217.0,46
226.0,46
227.0,46
236.0,47
241.0,47
244.0,46
251.0,46
256.0,46
261.0,46
266.0,46
267.0,46
276.0,48
281.0,48
282.0,48
287.0,47
293.0,46
297.0,46
306.0,47
311.0,47
316.0,46
320.0,46
322.0,46
328.0,46
332.0,46
341.0,45
342.0,45
348.0,45
352.0,44
361.0,45
365.0,45
367.0,45
376.0,45
380.0,45
386.0,45
388.0,45
395.0,45
401.0,45
406.0,45
410.0,45
414.0,45
417.0,45
426.0,48
429.0,48
433.0,47
437.0,46
446.0,46
451.0,45
456.0,45
459.0,45
463.0,45
471.0,46
476.0,45
478.0,45
486.0,45
487.0,45
492.0,45
497.0,45
503.0,45
507.0,44
515.0,44
521.0,44
526.0,44
529.0,44
532.0,44
541.0,45
546.0,44
550.0,44
556.0,44
561.0,45
562.0,45
571.0,45
576.0,45
577.0,45
582.0,45
591.0,44
595.0,45
597.0,45
603.0,45
611.0,45
614.0,44
618.0,44
622.0,44
627.0,44
633.0,44
639.0,44
644.0,44
651.0,44
655.0,44
660.0,44
666.0,45
671.0,46
675.0,46
677.0,46
685.0,45
691.0,45
692.0,45
698.0,45
706.0,44
708.0,44
715.0,44
718.0,45
722.0,46
731.0,67
736.0,75
739.0,75
745.0,66
751.0,57
756.0,52
761.0,49
766.0,47
771.0,45
772.0,45
779.0,43
783.0,42
786.0,39
792.0,41
794.0,41
800.0,40
806.0,40
811.0,39
815.0,39
819.0,39
825.0,39
828.0,39
837.0,39
840.0,39
843.0,40
852.0,39
854.0,40
858.0,40
865.0,40
870.0,39
877.0,39
881.0,39
887.0,39
888.0,39
897.0,39
902.0,39
903.0,40
911.0,40
915.0,40
920.0,40
927.0,40
930.0,40
933.0,41
940.0,40
943.0,40
